Informe de Errores;;;;
Tipo : Acciones;;;;
Pais : EEUU;;;;
Fecha de creación: 28/12/2021;;;;
;;;;
Nombre;Ref.;URL;Mensaje
Tencent Holdings Ltd ;TCTZF ;https://es.investing.com/equities/tencent-holdings-hk?cid=53031 ;Error al cargar la pagina
 Samsung Electronics Co Ltd ;SSNLF ;https://es.investing.com/equities/samsung-electronics-co-ltd?cid=104387 ;Error al cargar la pagina
 Nestle SA ;NSRGF ;https://es.investing.com/equities/nestle-ag?cid=53030 ;Error al cargar la pagina
 Roche Holding AG Participation ;RHHVF ;https://es.investing.com/equities/roche-hldg?cid=53057 ;Error al cargar la pagina
 Alibaba Group Holding Ltd ;BABAF ;https://es.investing.com/equities/alibaba-group-holding-hk?cid=1177706 ;Error al cargar la pagina
 ASML Holding NV ;ASMLF ;https://es.investing.com/equities/asml-holding?cid=15470 ;Error al cargar la pagina
 Toyota Motor Corp ;TOYOF ;https://es.investing.com/equities/toyota-motor-corporation?cid=53018 ;Error al cargar la pagina
 Prosus NV ;PROSF ;https://es.investing.com/equities/prosus?cid=1153077 ;Error al cargar la pagina
 BYD Co Ltd ;BYDDF ;https://es.investing.com/equities/byd-co.?cid=52805 ;Error al cargar la pagina
 Zurich Insurance Group AG ;ZFSVF ;https://es.investing.com/equities/zurich-fin?cid=53056 ;Error al cargar la pagina
 Stellantis NV ;STLA ;https://es.investing.com/equities/fiat?cid=941888 ;Error al cargar la pagina
 